"Gene","ModuleColor","ModuleLabel"
"ADD2","grey",0
"ADH5","grey",0
"ADHFE1","grey",0
"ADI1","turquoise",1
"ADIG","brown",3
"ADIPOR2","turquoise",1
"ADK","turquoise",1
"ADM","blue",2
"ADM2","blue",2
"ADNP","blue",2
"ADO","green",5
"ADORA2A","blue",2
"ADORA2B","blue",2
"ADORA3","brown",3
"ADPGK","turquoise",1
"ADPRH","blue",2
"ADPRHL1","brown",3
"ADPRHL2","grey",0
"ADRA1A","yellow",4
"ADRA1B","green",5
"ADRA1D","yellow",4
"ADRA2A","yellow",4
"ADRA2C","brown",3
"ADRB1","yellow",4
"ADRB2","turquoise",1
"ADRB3","yellow",4
"ADRBK1","blue",2
"ADRM1","grey",0
"ADSL","green",5
"ADSS","turquoise",1
"ADSSL1","brown",3
"AEBP1","grey",0
"AEBP2","grey",0
"AEN","green",5
"AES","turquoise",1
"AFAP1","grey",0
"AFAP1L1","yellow",4
"AFAP1L2","brown",3
"AFF1","turquoise",1
"AFF3","grey",0
"AFF4","turquoise",1
"AFG3L1","brown",3
"AFG3L2","grey",0
"AFMID","turquoise",1
"AFP","brown",3
"AFTPH","turquoise",1
"AGA","grey",0
"AGAP1","brown",3
"AGAP11","brown",3
"AGAP2","grey",0
"AGAP3","blue",2
"AGAP7","green",5
"AGBL2","blue",2
"AGBL3","turquoise",1
"AGBL4","grey",0
"AGBL5","turquoise",1
"AGER","grey",0
"AGFG1","blue",2
"AGFG2","turquoise",1
"AGGF1","turquoise",1
"AGK","turquoise",1
"AGL","blue",2
"AGMAT","green",5
"AGPAT1","grey",0
"AGPAT2","blue",2
"AGPAT3","grey",0
"AGPAT4","blue",2
"AGPAT5","brown",3
"AGPAT6","brown",3
"AGPAT9","turquoise",1
"AGPHD1","turquoise",1
"AGPS","grey",0
"AGR2","brown",3
"AGRN","turquoise",1
"AGRP","blue",2
"AGTPBP1","grey",0
"AGTR1","blue",2
"AGTRAP","blue",2
"AGXT","blue",2
"AGXT2L1","brown",3
"AGXT2L2","turquoise",1
"AHCY","turquoise",1
"AHCYL1","blue",2
"AHCYL2","blue",2
"AHDC1","brown",3
"AHI1","grey",0
"AHNAK","blue",2
"AHNAK2","grey",0
"AHR","grey",0
"AHRR","grey",0
"AHSA1","turquoise",1
"AHSA2","grey",0
"AHSG","yellow",4
"AHSP","grey",0
"AIDA","grey",0
"AIF1","brown",3
"AIFM2","blue",2
"AIFM3","blue",2
"AIG1","grey",0
"AIM1","brown",3
"AIM1L","grey",0
"AIM2","green",5
"AIP","green",5
"AIPL1","brown",3
"AIRE","blue",2
"AJAP1","brown",3
"AK1","brown",3
"AK2","turquoise",1
"AK3","grey",0
"AK3L1","grey",0
"AK5","yellow",4
"AK7","turquoise",1
"AKAP1","brown",3
"AKAP10","blue",2
"AKAP12","brown",3
"AKAP13","grey",0
"AKAP5","yellow",4
"AKAP6","brown",3
"AKAP7","brown",3
"AKAP8","grey",0
"AKAP8L","blue",2
"AKAP9","grey",0
"AKD1","turquoise",1
"AKIRIN1","turquoise",1
"AKIRIN2","turquoise",1
"AKNA","blue",2
"AKNAD1","blue",2
"AKR1A1","turquoise",1
"AKR1B1","grey",0
"AKR1D1","green",5
"AKR1E2","brown",3
"AKR7A2","grey",0
"AKT1","blue",2
"AKT1S1","turquoise",1
"AKT2","grey",0
"AKT3","blue",2
"AKTIP","grey",0
"ALAD","grey",0
"ALAS1","blue",2
"ALCAM","turquoise",1
"ALDH16A1","turquoise",1
"ALDH18A1","turquoise",1
"ALDH1A2","yellow",4
"ALDH1A3","brown",3
"ALDH1L1","grey",0
"ALDH1L2","brown",3
"ALDH2","brown",3
"ALDH3A1","blue",2
"ALDH3A2","grey",0
"ALDH3B1","blue",2
"ALDH3B2","brown",3
"ALDH4A1","blue",2
"ALDH5A1","grey",0
"ALDH6A1","turquoise",1
"ALDH7A1","brown",3
"ALDH8A1","grey",0
"ALDH9A1","turquoise",1
"ALDOA","turquoise",1
"ALDOB","brown",3
"ALDOC","blue",2
"ALG1","turquoise",1
"ALG10B","turquoise",1
"ALG11","turquoise",1
"ALG12","turquoise",1
"ALG14","turquoise",1
"ALG3","turquoise",1
"ALG5","turquoise",1
"ALG6","turquoise",1
"ALG8","turquoise",1
"ALG9","turquoise",1
"ALK","grey",0
"ALKBH1","turquoise",1
"ALKBH2","grey",0
"ALKBH3","grey",0
"ALKBH4","turquoise",1
"ALKBH5","turquoise",1
"ALKBH6","turquoise",1
"ALKBH7","turquoise",1
"ALKBH8","turquoise",1
"ALLC","grey",0
"ALMS1","turquoise",1
"ALOX12","brown",3
"ALOX12B","turquoise",1
"ALOX12P2","grey",0
"ALOX15B","blue",2
"ALOX5","grey",0
"ALOX5AP","blue",2
"ALOXE3","brown",3
"ALPI","brown",3
"ALPK1","grey",0
"ALPK3","brown",3
"ALPL","brown",3
"ALPP","brown",3
"ALS2","turquoise",1
"ALS2CL","blue",2
"ALS2CR11","blue",2
"ALS2CR4","turquoise",1
"ALX1","yellow",4
"ALX3","yellow",4
"ALX4","yellow",4
"AMAC1L3","turquoise",1
"AMACR","turquoise",1
"AMBN","blue",2
"AMBP","grey",0
"AMBRA1","green",5
"AMD1","turquoise",1
"AMDHD1","blue",2
"AMDHD2","turquoise",1
"AMFR","turquoise",1
"AMH","grey",0
"AMICA1","blue",2
"AMIGO1","grey",0
"AMIGO2","grey",0
"AMIGO3","grey",0
"AMMECR1L","grey",0
"AMN","blue",2
"AMN1","turquoise",1
"AMOTL1","grey",0
"AMOTL2","grey",0
"AMPD2","brown",3
"AMPD3","blue",2
"AMPH","brown",3
"AMT","blue",2
"AMTN","brown",3
"AMZ1","grey",0
"AMZ2","turquoise",1
"ANAPC1","turquoise",1
"ANAPC10","turquoise",1
"ANAPC11","turquoise",1
"ANAPC13","turquoise",1
"ANAPC2","turquoise",1
"ANAPC5","turquoise",1
"ANAPC7","turquoise",1
"ANG","turquoise",1
"ANGEL1","grey",0
"ANGEL2","turquoise",1
"ANGPT1","blue",2
"ANGPT2","blue",2
"ANGPT4","yellow",4
"ANGPTL1","turquoise",1
"ANGPTL2","blue",2
"ANGPTL4","turquoise",1
"ANGPTL5","blue",2
"ANGPTL6","grey",0
"ANK1","grey",0
"ANK2","grey",0
"ANKDD1A","grey",0
"ANKFN1","brown",3
"ANKFY1","grey",0
"ANKH","turquoise",1
"ANKHD1","turquoise",1
"ANKHD1-EIF4EBP3","grey",0
"ANKIB1","turquoise",1
"ANKLE1","grey",0
"ANKLE2","grey",0
"ANKMY1","grey",0
"ANKMY2","grey",0
"ANKRA2","turquoise",1
"ANKRD10","grey",0
"ANKRD11","grey",0
"ANKRD12","grey",0
"ANKRD13A","turquoise",1
"ANKRD13B","turquoise",1
"ANKRD13C","turquoise",1
"ANKRD13D","blue",2
"ANKRD16","grey",0
"ANKRD17","grey",0
"ANKRD18A","yellow",4
"ANKRD2","grey",0
"ANKRD22","blue",2
"ANKRD24","brown",3
"ANKRD26","turquoise",1
"ANKRD27","turquoise",1
"ANKRD28","blue",2
"ANKRD29","blue",2
"ANKRD30B","brown",3
"ANKRD31","grey",0
"ANKRD32","turquoise",1
"ANKRD33B","blue",2
"ANKRD34A","grey",0
"ANKRD34B","brown",3
"ANKRD34C","brown",3
"ANKRD35","turquoise",1
"ANKRD37","turquoise",1
"ANKRD39","grey",0
"ANKRD40","turquoise",1
"ANKRD42","turquoise",1
"ANKRD43","grey",0
"ANKRD44","brown",3
"ANKRD45","yellow",4
"ANKRD46","turquoise",1
"ANKRD49","grey",0
"ANKRD50","blue",2
"ANKRD52","turquoise",1
"ANKRD53","blue",2
"ANKRD54","turquoise",1
"ANKRD55","grey",0
"ANKRD56","turquoise",1
"ANKRD57","grey",0
"ANKRD9","grey",0
"ANKS1A","blue",2
"ANKS1B","grey",0
"ANKS3","grey",0
"ANKZF1","turquoise",1
"ANLN","grey",0
"ANO1","brown",3
"ANO10","turquoise",1
"ANO2","brown",3
"ANO3","yellow",4
"ANO4","yellow",4
"ANO5","yellow",4
"ANO6","turquoise",1
"ANO7","brown",3
"ANO8","grey",0
"ANO9","grey",0
"ANP32A","brown",3
"ANP32E","turquoise",1
"ANPEP","brown",3
"ANTXR2","grey",0
"ANUBL1","turquoise",1
"ANXA11","grey",0
"ANXA2","grey",0
"ANXA3","blue",2
"ANXA4","grey",0
"ANXA5","brown",3
"ANXA6","blue",2
"ANXA7","turquoise",1
"ANXA9","brown",3
"AOAH","blue",2
"AOC2","blue",2
"AOC3","brown",3
"AOX1","yellow",4
"AOX2P","brown",3
"AP1AR","grey",0
"AP1B1","blue",2
"AP1G1","turquoise",1
"AP1G2","grey",0
"AP1M1","turquoise",1
"AP1M2","blue",2
"AP1S1","turquoise",1
"AP1S3","turquoise",1
"AP2A1","turquoise",1
"AP2A2","grey",0
"AP2B1","turquoise",1
"AP2M1","grey",0
"AP2S1","turquoise",1
"AP3B1","brown",3
"AP3B2","green",5
"AP3D1","turquoise",1
"AP3M1","turquoise",1
"AP3M2","turquoise",1
"AP3S1","turquoise",1
"AP3S2","turquoise",1
"AP4B1","turquoise",1
"AP4E1","turquoise",1
"AP4M1","turquoise",1
"AP4S1","turquoise",1
"APAF1","turquoise",1
"APBA1","grey",0
"APBA2","blue",2
"APBA3","turquoise",1
"APBB1","turquoise",1
"APBB1IP","brown",3
"APBB2","yellow",4
"APBB3","turquoise",1
"APC","turquoise",1
"APC2","brown",3
"APCDD1","yellow",4
"APCDD1L","grey",0
"APCS","green",5
"APEH","grey",0
"APEX1","blue",2
"APH1A","turquoise",1
"APH1B","blue",2
"API5","turquoise",1
"APIP","turquoise",1
"APITD1","blue",2
"APLF","turquoise",1
"APLNR","green",5
"APLP1","brown",3
"APLP2","grey",0
"APOA1","blue",2
"APOA1BP","turquoise",1
"APOA4","brown",3
"APOA5","blue",2
"APOB","grey",0
"APOB48R","grey",0
"APOBEC1","brown",3
"APOBEC2","blue",2
"APOBEC3A","blue",2
"APOBEC3F","blue",2
"APOBEC3H","brown",3
"APOBEC4","blue",2
"APOC3","yellow",4
"APOC4","brown",3
"APOE","grey",0
"APOF","blue",2
"APOH","brown",3
"APOL3","blue",2
"APOL6","grey",0
"APOLD1","grey",0
"APOM","grey",0
"APP","blue",2
"APPBP2","turquoise",1
"APPL1","grey",0
"APPL2","grey",0
"APRT","turquoise",1
"AQP1","blue",2
"AQP10","blue",2
"AQP11","grey",0
"AQP2","grey",0
"AQP3","turquoise",1
"AQP4","grey",0
"AQP5","grey",0
"AQP6","brown",3
"AQP8","brown",3
"AQP9","grey",0
"AQR","turquoise",1
"ARAP1","turquoise",1
"ARAP2","turquoise",1
"ARAP3","green",5
"ARC","grey",0
"ARF1","grey",0
"ARF3","turquoise",1
"ARF4","turquoise",1
"ARF5","grey",0
"ARF6","grey",0
"ARFGAP1","green",5
"ARFGAP2","turquoise",1
"ARFGAP3","turquoise",1
"ARFGEF1","grey",0
"ARFGEF2","turquoise",1
"ARFIP1","turquoise",1
"ARFIP2","grey",0
"ARFRP1","grey",0
"ARG1","blue",2
"ARG2","grey",0
"ARGFX","grey",0
"ARGLU1","brown",3
"ARHGAP10","turquoise",1
"ARHGAP12","turquoise",1
"ARHGAP17","turquoise",1
"ARHGAP19","turquoise",1
"ARHGAP20","blue",2
"ARHGAP22","blue",2
"ARHGAP23","blue",2
"ARHGAP24","yellow",4
"ARHGAP25","blue",2
"ARHGAP26","green",5
"ARHGAP27","blue",2
"ARHGAP28","turquoise",1
"ARHGAP29","grey",0
"ARHGAP30","green",5
"ARHGAP5","turquoise",1
"ARHGAP9","turquoise",1
"ARHGDIA","grey",0
"ARHGDIB","turquoise",1
"ARHGDIG","brown",3
"ARHGEF1","grey",0
"ARHGEF10","brown",3
"ARHGEF10L","brown",3
"ARHGEF11","brown",3
"ARHGEF12","grey",0
"ARHGEF15","grey",0
"ARHGEF16","brown",3
"ARHGEF17","blue",2
"ARHGEF18","grey",0
"ARHGEF19","grey",0
"ARHGEF2","grey",0
"ARHGEF3","brown",3
"ARHGEF4","brown",3
"ARHGEF7","brown",3
"ARID1A","turquoise",1
"ARID1B","turquoise",1
"ARID2","grey",0
"ARID3A","blue",2
"ARID3C","grey",0
"ARID4A","turquoise",1
"ARID4B","turquoise",1
"ARID5A","blue",2
"ARID5B","blue",2
"ARIH1","grey",0
"ARIH2","turquoise",1
"ARL1","turquoise",1
"ARL10","grey",0
"ARL11","brown",3
"ARL13B","turquoise",1
"ARL14","brown",3
"ARL15","turquoise",1
"ARL16","green",5
"ARL2","grey",0
"ARL2BP","grey",0
"ARL3","blue",2
"ARL4A","grey",0
"ARL4C","blue",2
"ARL4D","grey",0
"ARL5A","turquoise",1
"ARL5B","turquoise",1
"ARL5C","blue",2
"ARL6","turquoise",1
"ARL6IP1","turquoise",1
"ARL6IP4","grey",0
"ARL6IP5","brown",3
"ARL6IP6","grey",0
"ARL8A","turquoise",1
"ARL8B","turquoise",1
"ARL9","brown",3
"ARMC10","turquoise",1
"ARMC2","turquoise",1
"ARMC3","brown",3
"ARMC4","grey",0
"ARMC5","turquoise",1
"ARMC6","turquoise",1
"ARMC7","turquoise",1
"ARMC8","blue",2
"ARMC9","blue",2
"ARNT","grey",0
"ARNT2","brown",3
"ARNTL","turquoise",1
"ARNTL2","blue",2
"ARPC1A","turquoise",1
"ARPC1B","turquoise",1
"ARPC3","turquoise",1
"ARPC4","green",5
"ARPC5","turquoise",1
"ARPC5L","turquoise",1
"ARPM1","turquoise",1
"ARPP-21","blue",2
"ARPP19","grey",0
"ARRB1","brown",3
"ARRB2","blue",2
"ARRDC1","blue",2
"ARRDC2","grey",0
"ARRDC3","turquoise",1
"ARRDC4","yellow",4
"ARRDC5","blue",2
"ARSA","turquoise",1
"ARSB","blue",2
"ARSG","blue",2
"ARSI","brown",3
"ARSJ","brown",3
"ARSK","turquoise",1
"ART1","brown",3
"ART3","blue",2
"ART4","blue",2
"ARTN","brown",3
"ARV1","turquoise",1
"ARVCF","blue",2
"AS3MT","brown",3
"ASAH1","turquoise",1
"ASAH2","brown",3
"ASAM","brown",3
"ASAP1","green",5
"ASAP2","brown",3
"ASAP3","grey",0
"ASB1","blue",2
"ASB10","brown",3
"ASB13","blue",2
"ASB14","blue",2
"ASB16","grey",0
"ASB18","grey",0
"ASB2","blue",2
"ASB3","grey",0
"ASB6","blue",2
"ASB7","grey",0
"ASB8","turquoise",1
"ASCC1","green",5
"ASCC2","turquoise",1
"ASCC3","grey",0
"ASCL1","yellow",4
"ASCL2","grey",0
"ASCL3","blue",2
"ASCL4","grey",0
"ASF1B","turquoise",1
"ASGR1","blue",2
"ASGR2","blue",2
"ASH2L","grey",0
"ASIP","grey",0
"ASL","blue",2
"ASNA1","turquoise",1
"ASNS","grey",0
"ASNSD1","turquoise",1
"ASPA","brown",3
"ASPG","grey",0
"ASPH","grey",0
"ASPHD1","grey",0
"ASPHD2","turquoise",1
"ASPM","turquoise",1
"ASPRV1","blue",2
"ASPSCR1","grey",0
"ASRGL1","blue",2
"ASS1","grey",0
"ASTE1","turquoise",1
"ASTN1","yellow",4
"ASTN2","grey",0
"ASXL1","blue",2
"ASXL2","turquoise",1
"ATAD1","turquoise",1
"ATAD2","turquoise",1
"ATAD2B","turquoise",1
"ATAD3A","grey",0
"ATAD5","blue",2
"ATE1","turquoise",1
"ATF1","turquoise",1
"ATF2","turquoise",1
"ATF3","turquoise",1
"ATF4","green",5
"ATF5","grey",0
"ATF6","turquoise",1
"ATF6B","blue",2
"ATF7","brown",3
"ATF7IP","blue",2
"ATF7IP2","turquoise",1
"ATG10","turquoise",1
"ATG12","turquoise",1
"ATG16L1","grey",0
"ATG16L2","grey",0
"ATG2A","grey",0
"ATG2B","grey",0
"ATG3","grey",0
"ATG4B","turquoise",1
"ATG4D","grey",0
"ATG5","turquoise",1
"ATG7","blue",2
"ATG9A","yellow",4
"ATG9B","grey",0
"ATHL1","grey",0
"ATIC","turquoise",1
"ATL1","turquoise",1
"ATL2","grey",0
"ATL3","blue",2
"ATM","grey",0
"ATMIN","grey",0
"ATN1","turquoise",1
"ATOH1","yellow",4
"ATOH8","blue",2
"ATOX1","grey",0
"ATP10A","blue",2
"ATP10B","green",5
"ATP10D","blue",2
"ATP11A","turquoise",1
"ATP11B","grey",0
"ATP13A1","turquoise",1
"ATP13A2","grey",0
"ATP13A3","turquoise",1
"ATP13A4","grey",0
"ATP13A5","brown",3
"ATP1A1","grey",0
"ATP1A2","brown",3
"ATP1A3","turquoise",1
"ATP1B1","grey",0
"ATP1B2","grey",0
"ATP1B3","grey",0
"ATP2A1","brown",3
"ATP2A3","grey",0
"ATP2B2","brown",3
"ATP2C1","blue",2
"ATP2C2","blue",2
"ATP4A","yellow",4
"ATP4B","brown",3
"ATP5A1","turquoise",1
"ATP5B","turquoise",1
"ATP5C1","turquoise",1
"ATP5D","turquoise",1
"ATP5E","grey",0
"ATP5EP2","brown",3
"ATP5F1","turquoise",1
"ATP5G2","yellow",4
"ATP5G3","turquoise",1
"ATP5H","turquoise",1
"ATP5I","turquoise",1
"ATP5J","grey",0
"ATP5J2","turquoise",1
"ATP5L","turquoise",1
"ATP5O","green",5
"ATP5S","grey",0
"ATP5SL","turquoise",1
"ATP6V0A1","blue",2
"ATP6V0A2","grey",0
"ATP6V0A4","grey",0
"ATP6V0B","turquoise",1
"ATP6V0C","grey",0
"ATP6V0D1","grey",0
"ATP6V0D2","green",5
"ATP6V0E1","turquoise",1
"ATP6V0E2","blue",2
"ATP6V1A","turquoise",1
"ATP6V1B1","brown",3
"ATP6V1B2","brown",3
"ATP6V1C1","turquoise",1
"ATP6V1C2","turquoise",1
"ATP6V1D","turquoise",1
"ATP6V1E1","turquoise",1
"ATP6V1E2","blue",2
"ATP6V1F","turquoise",1
"ATP6V1G1","grey",0
"ATP6V1G2","turquoise",1
"ATP6V1H","grey",0
"ATP7B","turquoise",1
"ATP8A1","turquoise",1
"ATP8A2","brown",3
"ATP8B2","grey",0
"ATP8B4","blue",2
"ATP9A","blue",2
"ATP9B","turquoise",1
"ATPAF1","turquoise",1
"ATPAF2","turquoise",1
"ATPBD4","turquoise",1
"ATPGD1","grey",0
"ATPIF1","grey",0
"ATR","green",5
"ATRIP","grey",0
"ATRN","grey",0
"ATRNL1","grey",0
"ATXN1","grey",0
"ATXN10","blue",2
"ATXN1L","brown",3
"ATXN2","brown",3
"ATXN2L","grey",0
"ATXN3","turquoise",1
"ATXN7","grey",0
"ATXN7L1","brown",3
"ATXN7L2","turquoise",1
"ATXN7L3","blue",2
"ATXN8OS","yellow",4
"AUH","blue",2
"AUP1","turquoise",1
"AURKA","turquoise",1
"AURKAIP1","turquoise",1
"AURKB","turquoise",1
"AUTS2","grey",0
"AVEN","grey",0
"AVIL","blue",2
"AVL9","turquoise",1
"AVP","brown",3
"AVPI1","grey",0
"AVPR1A","yellow",4
"AVPR1B","brown",3
"AXIN1","grey",0
"AXIN2","yellow",4
"AXL","blue",2
"AZGP1","brown",3
"AZI1","grey",0
"AZI2","turquoise",1
"AZIN1","blue",2
"AZU1","blue",2
"B2M","turquoise",1
"B3GALNT1","grey",0
"B3GALNT2","turquoise",1
"B3GALT1","blue",2
"B3GALT2","brown",3
"B3GALT4","green",5
"B3GALT6","turquoise",1
"B3GALTL","grey",0
"B3GAT1","brown",3
"B3GAT3","turquoise",1
"B3GNT1","turquoise",1
"B3GNT2","turquoise",1
"B3GNT3","blue",2
"B3GNT4","grey",0
"B3GNT5","brown",3
"B3GNT6","turquoise",1
"B3GNT7","blue",2
"B3GNT8","blue",2
"B3GNT9","yellow",4
"B3GNTL1","blue",2
"B4GALNT1","brown",3
"B4GALNT2","yellow",4
"B4GALNT3","brown",3
"B4GALT1","grey",0
"B4GALT2","grey",0
"B4GALT3","grey",0
"B4GALT4","grey",0
"B4GALT5","grey",0
"B4GALT6","brown",3
"B4GALT7","blue",2
"B9D1","brown",3
"B9D2","grey",0
"BAALC","green",5
"BACE1","grey",0
"BACE2","grey",0
"BACH1","blue",2
"BACH2","grey",0
"BAD","turquoise",1
"BAG2","grey",0
"BAG4","turquoise",1
"BAG5","turquoise",1
"BAHCC1","blue",2
"BAHD1","grey",0
"BAI1","brown",3
"BAI2","grey",0
"BAI3","blue",2
"BAIAP2","brown",3
"BAIAP2L1","brown",3
"BAIAP2L2","red",6
"BAIAP3","grey",0
"BAK1","turquoise",1
"BAMBI","grey",0
"BANF1","turquoise",1
"BANK1","grey",0
"BANP","grey",0
"BAP1","grey",0
"BARD1","blue",2
"BARHL1","grey",0
"BARHL2","yellow",4
"BARX1","grey",0
"BARX2","grey",0
"BASE","brown",3
"BASP1","yellow",4
"BAT1","brown",3
"BAT2","grey",0
"BAT2L2","turquoise",1
"BAT3","blue",2
"BAT4","turquoise",1
"BAT5","grey",0
"BATF","turquoise",1
"BATF2","blue",2
"BATF3","grey",0
"BAX","grey",0
"BAZ1B","turquoise",1
"BAZ2A","turquoise",1
"BAZ2B","brown",3
"BBC3","blue",2
"BBOX1","brown",3
"BBS1","grey",0
"BBS10","turquoise",1
"BBS12","turquoise",1
"BBS2","turquoise",1
"BBS4","turquoise",1
"BBS5","turquoise",1
"BBS7","turquoise",1
"BBS9","blue",2
"BBX","brown",3
"BCAM","blue",2
"BCAN","brown",3
"BCAP29","turquoise",1
"BCAR1","grey",0
"BCAS3","yellow",4
"BCAS4","brown",3
